student_id,hours_studied,lms_activity_hours,attendance_percent,previous_scores,exam_score,risk_category
S02720,1.1,16.6,58.3,62,76,Успешный студент
S02721,4.7,27.6,60.6,65,84,Успешный студент
S02722,3.1,6.4,84.6,73,46,В зоне риска
S02723,6.3,20.3,57.8,95,45,В зоне риска
S02724,12.0,32.7,51.2,95,62,Требует внимания
S02725,1.0,25.2,62.7,65,32,В зоне риска
S02726,4.9,19.6,56.6,74,77,Успешный студент
S02727,4.0,23.1,50.3,95,53,Требует внимания
S02728,7.3,31.2,82.8,73,41,В зоне риска
S02729,2.3,18.3,50.3,47,51,Требует внимания
S02730,6.0,24.8,50.3,95,73,Требует внимания
S02731,10.0,15.3,94.8,56,52,Требует внимания
S02732,3.5,14.7,90.9,95,73,Требует внимания
S02733,9.3,8.3,94.8,91,25,В зоне риска
S02734,1.6,22.3,71.0,77,83,Успешный студент
S02735,8.2,19.0,88.7,80,71,Требует внимания
S02736,1.4,8.8,55.7,95,51,Требует внимания
S02737,1.0,26.2,67.0,93,57,Требует внимания
S02738,9.6,15.7,72.8,77,54,Требует внимания
S02739,9.2,26.8,80.3,56,43,В зоне риска
S02740,9.4,23.6,89.4,95,82,Успешный студент
S02741,10.6,22.5,57.6,78,28,В зоне риска
S02742,1.4,30.0,73.4,85,57,Требует внимания
S02743,7.5,26.1,100.0,95,91,Успешный студент
S02744,10.5,7.9,71.3,73,56,Требует внимания
S02745,5.3,8.9,58.2,53,59,Требует внимания
S02746,10.0,7.9,64.1,72,77,Успешный студент
S02747,8.3,31.9,65.8,57,52,Требует внимания
S02748,5.3,22.3,86.0,88,52,Требует внимания
S02749,5.2,24.9,50.3,95,73,Требует внимания
S02750,4.7,26.2,100.0,40,71,Требует внимания
S02751,7.7,32.3,69.3,95,52,Требует внимания
S02752,7.6,12.9,63.7,74,45,В зоне риска
S02753,3.6,27.2,78.5,68,26,В зоне риска
S02754,1.3,23.8,80.4,95,66,Требует внимания
S02755,2.8,27.0,81.5,84,51,Требует внимания
S02756,12.0,11.7,81.3,85,65,Требует внимания
S02757,3.4,6.2,78.4,88,71,Требует внимания
S02758,10.3,27.9,58.5,74,53,Требует внимания
S02759,7.6,25.9,78.0,69,50,Требует внимания
S02760,8.3,9.7,56.3,78,76,Успешный студент
S02761,1.0,6.9,80.5,89,62,Требует внимания
S02762,3.5,13.2,93.9,58,12,В зоне риска
S02763,4.5,9.1,60.9,72,25,В зоне риска
S02764,8.4,18.5,65.0,71,54,Требует внимания
S02765,8.0,29.1,95.2,55,63,Требует внимания
S02766,1.2,16.2,55.4,93,37,В зоне риска
S02767,3.8,10.3,51.8,95,49,В зоне риска
S02768,1.0,7.9,85.9,76,37,В зоне риска
S02769,7.5,4.8,83.5,67,49,В зоне риска
S02770,7.8,33.2,77.4,70,50,Требует внимания
S02771,2.8,18.8,83.0,61,81,Успешный студент
S02772,4.5,22.3,85.3,51,48,В зоне риска
S02773,8.0,14.6,63.8,86,68,Требует внимания
S02774,7.0,22.3,63.4,95,49,В зоне риска
S02775,10.0,8.6,98.9,95,34,В зоне риска
S02776,2.7,24.4,58.8,77,56,Требует внимания
S02777,6.2,21.0,62.5,94,49,В зоне риска
S02778,3.9,26.0,93.5,57,69,Требует внимания
S02779,6.7,23.4,60.3,65,29,В зоне риска
S02780,1.0,12.3,56.8,53,53,Требует внимания
S02781,6.4,11.6,55.7,87,50,Требует внимания
S02782,5.8,6.2,81.0,83,30,В зоне риска
S02783,1.7,25.3,81.7,84,48,В зоне риска
S02784,1.0,9.5,50.3,95,34,В зоне риска
S02785,4.9,32.5,82.0,66,47,В зоне риска
S02786,11.9,6.8,69.7,91,77,Успешный студент
S02787,6.7,28.6,82.5,59,25,В зоне риска
S02788,2.9,3.3,98.9,61,50,Требует внимания
S02789,8.9,6.1,91.5,89,81,Успешный студент
S02790,9.0,27.8,62.8,49,63,Требует внимания
S02791,4.5,29.6,57.8,95,84,Успешный студент
S02792,7.8,18.9,51.1,67,59,Требует внимания
S02793,5.0,17.4,50.3,55,74,Требует внимания
S02794,7.1,24.2,81.4,95,51,Требует внимания
S02795,1.3,26.1,90.8,59,37,В зоне риска
S02796,4.6,27.8,62.0,69,58,Требует внимания
S02797,4.2,15.6,59.9,64,65,Требует внимания
S02798,8.9,27.8,69.0,95,72,Требует внимания
S02799,4.0,23.5,89.3,73,43,В зоне риска
S02800,10.0,31.3,80.1,95,79,Успешный студент
S02801,3.3,13.3,63.2,89,64,Требует внимания
S02802,10.6,25.0,63.3,92,78,Успешный студент
S02803,2.7,24.5,87.4,63,43,В зоне риска
S02804,3.0,28.4,57.0,75,66,Требует внимания
S02805,7.8,17.7,81.2,73,74,Требует внимания
S02806,3.5,27.1,58.3,92,50,Требует внимания
S02807,9.0,18.7,90.7,68,50,Требует внимания
S02808,3.4,20.8,55.2,71,56,Требует внимания
S02809,5.9,12.3,50.3,55,62,Требует внимания
S02810,1.0,13.9,72.6,64,59,Требует внимания
S02811,3.2,29.5,66.4,92,39,В зоне риска
S02812,1.1,10.1,55.8,92,59,Требует внимания
S02813,3.5,22.6,68.8,93,17,В зоне риска
S02814,6.4,20.9,92.0,59,32,В зоне риска
S02815,5.8,8.8,74.5,61,75,Успешный студент
S02816,1.7,13.9,54.2,69,50,Требует внимания
S02817,3.5,24.2,95.7,75,45,В зоне риска
S02818,7.2,25.9,57.8,93,41,В зоне риска
S02819,2.4,27.5,78.9,68,22,В зоне риска
S02820,12.0,29.8,50.8,83,28,В зоне риска
S02821,1.4,9.1,80.3,60,66,Требует внимания
S02822,8.7,32.8,60.3,91,60,Требует внимания
S02823,4.0,29.0,50.3,67,63,Требует внимания
S02824,7.0,8.9,98.4,71,52,Требует внимания
S02825,1.0,17.8,55.6,83,12,В зоне риска
S02826,7.1,22.4,64.8,68,65,Требует внимания
S02827,7.4,34.3,54.2,93,90,Успешный студент
S02828,2.4,33.2,51.9,51,15,В зоне риска
S02829,2.1,21.5,53.2,88,19,В зоне риска
S02830,3.4,26.1,69.3,85,30,В зоне риска
S02831,11.0,25.9,87.6,45,83,Успешный студент
S02832,1.9,17.4,50.3,48,62,Требует внимания
S02833,7.3,9.6,74.4,95,55,Требует внимания
S02834,5.3,19.4,95.6,95,79,Успешный студент
S02835,6.0,11.5,50.3,88,24,В зоне риска
S02836,3.3,28.8,78.8,76,58,Требует внимания
S02837,10.7,30.5,100.0,63,56,Требует внимания
S02838,4.5,11.2,80.6,95,62,Требует внимания
S02839,9.0,18.2,55.4,88,45,В зоне риска
S02840,1.1,13.1,91.0,95,40,В зоне риска
S02841,4.1,16.7,60.9,90,44,В зоне риска
S02842,3.5,11.2,62.8,62,58,Требует внимания
S02843,8.4,17.9,89.2,95,76,Успешный студент
S02844,6.0,23.7,71.0,70,39,В зоне риска
S02845,8.9,30.7,77.5,56,32,В зоне риска
S02846,3.2,8.7,69.2,95,58,Требует внимания
S02847,6.4,17.9,62.8,40,54,Требует внимания
S02848,7.7,19.3,74.0,95,81,Успешный студент
S02849,1.0,8.1,74.5,74,12,В зоне риска
S02850,10.5,29.4,63.4,81,12,В зоне риска
S02851,9.0,27.4,53.2,71,83,Успешный студент
S02852,3.9,23.6,60.3,95,55,Требует внимания
S02853,6.8,26.9,94.7,95,40,В зоне риска
S02854,6.8,20.9,66.6,74,66,Требует внимания
S02855,2.4,31.3,61.3,62,42,В зоне риска
S02856,4.8,10.3,100.0,60,63,Требует внимания
S02857,9.5,28.2,60.4,71,59,Требует внимания
S02858,2.3,12.8,57.1,92,87,Успешный студент
S02859,9.3,22.5,56.8,95,75,Успешный студент
S02860,1.0,7.9,50.3,68,52,Требует внимания
S02861,2.3,22.2,96.3,77,84,Успешный студент
S02862,8.5,19.1,68.4,49,70,Требует внимания
S02863,7.5,28.3,81.2,55,55,Требует внимания
S02864,4.4,10.5,90.9,63,78,Успешный студент
S02865,3.9,16.0,61.3,95,55,Требует внимания
S02866,4.6,10.6,87.3,85,56,Требует внимания
S02867,9.6,28.9,68.4,52,64,Требует внимания
S02868,5.6,13.4,61.3,89,53,Требует внимания
S02869,8.0,24.7,84.2,87,51,Требует внимания
S02870,11.0,18.6,84.3,95,54,Требует внимания
S02871,5.5,15.5,50.3,95,48,В зоне риска
S02872,6.1,31.1,61.4,95,59,Требует внимания
S02873,2.6,23.2,61.0,46,67,Требует внимания
S02874,9.1,22.2,56.8,45,31,В зоне риска
S02875,9.7,29.1,57.7,85,53,Требует внимания
S02876,7.8,31.4,83.9,80,78,Успешный студент
S02877,4.1,20.8,69.2,61,66,Требует внимания
S02878,3.8,10.6,78.8,95,55,Требует внимания
S02879,4.6,31.2,50.3,95,43,В зоне риска
S02880,7.5,18.9,93.7,85,71,Требует внимания
S02881,4.4,15.7,50.3,95,83,Успешный студент
S02882,5.1,13.4,50.3,53,19,В зоне риска
S02883,3.1,21.5,84.4,87,38,В зоне риска
S02884,2.5,10.3,92.6,95,27,В зоне риска
S02885,12.0,5.4,88.6,73,53,Требует внимания
S02886,2.7,10.4,50.3,69,58,Требует внимания
S02887,2.7,14.6,86.4,83,47,В зоне риска
S02888,8.0,13.7,56.4,81,50,Требует внимания
S02889,3.0,16.9,88.6,95,76,Успешный студент
S02890,4.3,25.1,79.2,55,51,Требует внимания
S02891,12.0,23.2,57.5,58,63,Требует внимания
S02892,3.8,22.0,57.2,95,74,Требует внимания
S02893,1.6,19.3,53.7,83,73,Требует внимания
S02894,3.3,22.4,100.0,88,75,Успешный студент
S02895,8.5,32.2,55.1,55,67,Требует внимания
S02896,7.0,29.2,98.3,74,56,Требует внимания
S02897,7.7,28.8,59.0,63,81,Успешный студент
S02898,3.1,17.9,69.9,64,69,Требует внимания
S02899,2.1,18.2,60.4,95,54,Требует внимания
S02900,1.0,5.3,94.9,65,58,Требует внимания
S02901,4.1,24.8,90.6,95,52,Требует внимания
S02902,4.9,21.3,50.3,79,54,Требует внимания
S02903,9.0,30.0,63.0,69,57,Требует внимания
S02904,3.2,6.2,58.5,40,49,В зоне риска
S02905,1.0,22.2,68.8,76,39,В зоне риска
S02906,6.0,20.9,72.6,76,68,Требует внимания
S02907,8.1,17.6,78.5,64,51,Требует внимания
S02908,10.0,19.5,66.0,95,65,Требует внимания
S02909,6.2,22.1,71.3,66,33,В зоне риска
S02910,1.8,13.8,75.4,83,56,Требует внимания
S02911,1.0,20.6,75.7,62,24,В зоне риска
S02912,7.6,29.9,83.3,87,55,Требует внимания
S02913,5.5,10.3,56.7,44,39,В зоне риска
S02914,1.0,9.3,88.7,55,51,Требует внимания
S02915,4.8,30.5,85.3,95,29,В зоне риска
S02916,2.8,8.8,95.6,70,84,Успешный студент
S02917,2.0,23.7,73.2,43,69,Требует внимания
S02918,9.5,24.9,60.4,74,49,В зоне риска
S02919,5.5,14.1,83.7,49,43,В зоне риска
S02920,8.6,20.7,68.8,88,94,Успешный студент
S02921,2.4,11.3,89.7,76,56,Требует внимания
S02922,10.1,23.9,85.7,95,94,Успешный студент
S02923,8.8,9.5,53.7,68,47,В зоне риска
S02924,1.0,25.0,83.7,67,24,В зоне риска
S02925,5.3,9.4,63.2,57,14,В зоне риска
S02926,6.3,25.9,50.3,60,61,Требует внимания
S02927,6.3,21.1,67.5,62,42,В зоне риска
S02928,4.3,22.9,55.2,68,50,Требует внимания
S02929,9.3,30.8,71.6,59,71,Требует внимания
S02930,5.0,21.6,58.5,78,57,Требует внимания
S02931,5.4,10.3,84.9,87,72,Требует внимания
S02932,5.6,23.9,83.0,95,61,Требует внимания
S02933,2.9,28.2,50.3,77,78,Успешный студент
S02934,9.9,26.4,93.7,85,63,Требует внимания
S02935,7.5,22.1,74.6,68,40,В зоне риска
S02936,10.0,9.6,51.3,75,39,В зоне риска
S02937,8.7,17.6,54.1,83,51,Требует внимания
S02938,5.6,10.6,67.8,65,42,В зоне риска
S02939,7.3,22.1,72.1,74,69,Требует внимания
S02940,12.0,27.9,67.4,59,82,Успешный студент
S02941,5.9,11.6,75.5,57,60,Требует внимания
S02942,7.6,17.8,66.0,95,63,Требует внимания
S02943,1.1,27.7,50.3,40,17,В зоне риска
S02944,2.3,15.6,73.7,72,34,В зоне риска
S02945,5.3,19.8,82.4,70,94,Успешный студент
S02946,2.2,10.7,80.6,68,52,Требует внимания
S02947,4.5,15.6,64.5,84,83,Успешный студент
S02948,10.5,34.3,66.0,95,77,Успешный студент
S02949,7.7,28.5,71.1,95,61,Требует внимания
S02950,10.2,19.7,67.5,86,37,В зоне риска
S02951,1.2,14.5,50.3,56,70,Требует внимания
S02952,2.8,5.4,68.6,51,17,В зоне риска
S02953,10.8,29.2,57.7,95,64,Требует внимания
S02954,1.7,15.5,50.3,62,54,Требует внимания
S02955,11.3,30.2,91.6,92,51,Требует внимания
S02956,1.0,10.8,59.5,57,52,Требует внимания
S02957,1.0,15.5,84.5,78,77,Успешный студент
S02958,7.3,17.9,50.3,71,34,В зоне риска
S02959,3.5,12.2,60.6,71,38,В зоне риска
S02960,7.1,24.7,73.6,64,70,Требует внимания
S02961,1.0,28.0,64.6,53,22,В зоне риска
S02962,6.2,24.8,87.8,58,52,Требует внимания
S02963,7.1,24.0,64.9,95,73,Требует внимания
S02964,1.0,15.9,69.9,60,54,Требует внимания
S02965,9.5,12.2,55.6,95,36,В зоне риска
S02966,1.3,21.1,65.2,54,34,В зоне риска
S02967,10.1,21.7,56.7,92,58,Требует внимания
S02968,6.4,22.9,89.1,52,45,В зоне риска
S02969,10.1,6.9,60.6,95,36,В зоне риска
S02970,10.1,22.9,50.3,86,34,В зоне риска
S02971,8.6,10.6,73.3,61,64,Требует внимания
S02972,3.6,18.1,53.8,55,73,Требует внимания
S02973,3.4,13.3,95.7,65,80,Успешный студент
S02974,7.6,15.6,71.4,95,39,В зоне риска
S02975,9.1,13.7,60.9,67,62,Требует внимания
S02976,5.2,20.7,50.3,83,57,Требует внимания
S02977,1.8,7.1,70.0,93,48,В зоне риска
S02978,9.7,24.7,96.1,79,94,Успешный студент
S02979,2.9,5.4,63.2,56,47,В зоне риска
S02980,1.0,13.7,50.3,76,78,Успешный студент
S02981,1.1,29.4,89.7,61,59,Требует внимания
S02982,6.0,24.3,79.9,95,61,Требует внимания
S02983,6.9,16.0,56.8,86,66,Требует внимания
S02984,1.0,12.9,62.0,40,44,В зоне риска
S02985,7.5,15.5,100.0,90,64,Требует внимания
S02986,10.5,10.9,79.0,58,12,В зоне риска
S02987,5.8,8.6,67.5,62,48,В зоне риска
S02988,8.5,15.7,94.7,69,42,В зоне риска
S02989,10.0,25.6,96.8,82,59,Требует внимания
S02990,4.8,8.6,70.2,77,91,Успешный студент
S02991,5.7,18.6,51.1,95,49,В зоне риска
S02992,2.8,24.3,66.3,79,75,Успешный студент
S02993,11.6,22.8,50.3,95,46,В зоне риска
S02994,5.1,10.0,78.4,62,40,В зоне риска
S02995,1.8,30.1,50.3,53,41,В зоне риска
S02996,5.3,10.8,69.0,52,57,Требует внимания
S02997,7.0,13.4,52.1,95,78,Успешный студент
S02998,5.5,22.3,78.8,84,52,Требует внимания
S02999,5.2,10.2,83.5,55,77,Успешный студент
S03000,3.1,15.8,52.0,83,50,Требует внимания
S03001,7.4,22.6,68.6,88,61,Требует внимания
S03002,11.7,7.7,59.5,73,56,Требует внимания
S03003,2.5,19.9,81.9,91,71,Требует внимания
S03004,6.9,17.7,82.4,67,12,В зоне риска
S03005,1.4,17.0,74.0,45,66,Требует внимания
S03006,7.3,12.5,69.3,75,12,В зоне риска
S03007,4.1,28.8,50.3,95,59,Требует внимания
S03008,7.8,8.9,68.0,95,67,Требует внимания
S03009,3.4,18.7,66.0,57,43,В зоне риска
S03010,5.8,27.5,73.1,83,69,Требует внимания
S03011,8.7,16.0,88.4,70,55,Требует внимания
S03012,11.8,30.3,91.8,91,62,Требует внимания
S03013,3.9,24.6,54.2,85,60,Требует внимания
S03014,6.9,23.7,87.7,86,91,Успешный студент
S03015,2.1,16.8,90.5,53,67,Требует внимания
S03016,12.0,30.7,81.4,71,80,Успешный студент
S03017,1.0,13.3,100.0,85,71,Требует внимания
S03018,9.0,26.7,79.3,95,46,В зоне риска
S03019,5.1,4.6,71.8,59,44,В зоне риска
S03020,2.9,12.6,96.3,42,60,Требует внимания
S03021,5.9,25.5,62.7,57,58,Требует внимания
S03022,8.3,29.0,56.9,81,67,Требует внимания
S03023,3.7,20.2,54.0,61,48,В зоне риска
S03024,2.8,16.8,69.9,91,48,В зоне риска
S03025,2.9,15.8,83.2,91,61,Требует внимания
S03026,7.9,30.4,63.5,94,53,Требует внимания
S03027,8.9,13.1,73.8,60,61,Требует внимания
S03028,8.5,14.1,50.3,57,61,Требует внимания
S03029,8.4,16.7,91.4,44,41,В зоне риска
S03030,2.0,23.2,55.6,67,14,В зоне риска
S03031,2.5,12.7,97.5,89,20,В зоне риска
S03032,7.5,9.2,85.6,80,61,Требует внимания
S03033,2.3,6.1,60.6,82,25,В зоне риска
S03034,1.0,10.6,54.0,64,65,Требует внимания
S03035,8.2,23.7,55.2,57,91,Успешный студент
S03036,6.5,30.3,73.1,86,64,Требует внимания
S03037,10.5,28.5,81.9,48,57,Требует внимания
S03038,2.0,18.6,69.2,63,12,В зоне риска
S03039,10.2,12.3,57.6,92,57,Требует внимания
S03040,5.3,6.7,63.9,95,57,Требует внимания
S03041,7.4,21.1,90.1,56,54,Требует внимания
S03042,1.0,28.4,60.0,70,49,В зоне риска
S03043,2.9,27.8,60.8,56,24,В зоне риска
S03044,1.2,6.0,99.1,49,60,Требует внимания
S03045,7.1,18.3,67.6,95,38,В зоне риска
S03046,5.4,21.2,97.8,54,58,Требует внимания
S03047,8.7,21.1,71.3,73,33,В зоне риска
S03048,11.9,23.8,83.7,63,55,Требует внимания
S03049,7.0,15.0,70.5,89,76,Успешный студент
S03050,4.7,8.5,59.9,81,61,Требует внимания
S03051,1.9,19.3,50.3,87,64,Требует внимания
S03052,2.7,6.8,60.4,57,38,В зоне риска
S03053,7.6,11.9,66.1,60,52,Требует внимания
S03054,3.6,16.3,51.9,79,60,Требует внимания
S03055,3.3,13.5,67.6,57,59,Требует внимания
S03056,1.2,22.6,67.0,58,46,В зоне риска
S03057,4.7,23.5,58.8,93,60,Требует внимания
S03058,9.1,31.5,74.5,84,93,Успешный студент
S03059,1.0,30.4,79.1,61,71,Требует внимания
S03060,10.6,19.0,61.0,93,91,Успешный студент
S03061,6.1,23.4,61.9,95,71,Требует внимания
S03062,5.5,23.6,66.5,95,74,Требует внимания
S03063,3.8,19.8,65.9,62,69,Требует внимания
S03064,4.9,21.2,61.5,81,25,В зоне риска
S03065,1.6,7.1,73.8,68,36,В зоне риска
S03066,5.4,29.9,63.2,52,53,Требует внимания
S03067,7.5,24.2,50.5,50,82,Успешный студент
S03068,1.6,15.1,86.1,80,13,В зоне риска
S03069,5.6,27.7,74.8,95,50,Требует внимания
S03070,8.7,7.0,53.4,82,51,Требует внимания
S03071,8.4,3.6,50.3,70,60,Требует внимания
S03072,4.3,10.1,77.2,62,40,В зоне риска
S03073,3.8,23.2,82.0,95,31,В зоне риска
S03074,1.7,11.2,60.7,70,80,Успешный студент
S03075,2.0,12.4,50.3,95,55,Требует внимания
S03076,3.2,8.7,63.4,56,40,В зоне риска
S03077,7.8,32.0,72.9,77,91,Успешный студент
S03078,8.6,4.9,63.5,63,59,Требует внимания
S03079,12.0,22.4,72.1,89,47,В зоне риска
S03080,1.8,15.4,77.3,75,90,Успешный студент
S03081,1.0,8.5,50.3,95,40,В зоне риска
S03082,1.0,28.0,84.3,69,39,В зоне риска
S03083,4.5,19.7,79.9,61,60,Требует внимания
S03084,3.3,26.9,50.3,88,16,В зоне риска
S03085,6.2,9.5,59.2,95,58,Требует внимания
S03086,4.5,18.5,64.6,90,39,В зоне риска
S03087,5.6,23.4,56.5,95,40,В зоне риска
S03088,1.0,25.0,61.2,79,41,В зоне риска
S03089,4.6,19.1,88.8,73,77,Успешный студент
S03090,10.1,27.5,62.5,69,82,Успешный студент
S03091,1.0,8.1,56.0,71,53,Требует внимания
S03092,1.0,22.2,85.5,95,58,Требует внимания
S03093,2.8,21.9,69.1,41,23,В зоне риска
S03094,2.7,25.4,63.4,58,45,В зоне риска
S03095,7.5,21.5,68.8,74,41,В зоне риска
S03096,6.1,30.9,50.3,77,59,Требует внимания
S03097,12.0,20.8,53.0,43,54,Требует внимания
S03098,10.2,14.9,50.3,95,50,Требует внимания
S03099,2.3,24.8,84.0,62,66,Требует внимания
S03100,8.6,19.9,51.1,57,66,Требует внимания
S03101,3.3,10.5,63.7,63,79,Успешный студент
S03102,2.1,8.5,61.2,95,84,Успешный студент
S03103,8.2,19.7,63.4,95,86,Успешный студент
S03104,4.5,17.5,63.5,60,56,Требует внимания
S03105,6.7,17.6,56.4,71,48,В зоне риска
S03106,12.0,23.0,93.4,45,36,В зоне риска
S03107,1.0,18.7,61.2,58,52,Требует внимания
S03108,7.6,13.9,51.9,64,65,Требует внимания
S03109,11.3,29.7,94.2,95,83,Успешный студент
S03110,9.0,15.0,50.3,57,72,Требует внимания
S03111,5.7,10.2,62.2,61,26,В зоне риска
S03112,5.5,19.4,92.8,73,45,В зоне риска
S03113,3.7,32.5,50.9,81,81,Успешный студент
S03114,4.7,11.0,85.1,66,21,В зоне риска
S03115,2.0,15.2,65.9,54,70,Требует внимания
S03116,1.0,32.4,81.3,92,91,Успешный студент
S03117,5.5,26.2,55.3,84,63,Требует внимания
S03118,8.4,26.6,83.1,95,85,Успешный студент
S03119,5.7,18.0,57.4,90,44,В зоне риска
S03120,8.4,25.2,50.3,83,61,Требует внимания
S03121,5.4,10.6,62.8,58,77,Успешный студент
S03122,2.1,25.1,50.3,83,57,Требует внимания
S03123,9.1,27.5,68.5,40,62,Требует внимания
S03124,1.3,22.9,95.4,95,46,В зоне риска
S03125,5.9,9.3,66.0,95,23,В зоне риска
S03126,9.1,13.9,50.8,95,49,В зоне риска
S03127,9.4,19.3,68.2,94,67,Требует внимания
S03128,4.5,7.6,52.7,79,60,Требует внимания
S03129,10.7,6.5,76.2,66,71,Требует внимания
S03130,1.0,16.7,86.2,91,16,В зоне риска
S03131,1.0,12.2,52.7,95,49,В зоне риска
S03132,10.2,10.1,69.6,87,87,Успешный студент
S03133,8.2,8.0,51.1,84,30,В зоне риска
S03134,5.4,21.7,57.0,83,18,В зоне риска
S03135,1.6,15.6,53.1,93,12,В зоне риска
S03136,3.9,7.7,92.6,50,51,Требует внимания
S03137,7.8,8.6,59.3,95,48,В зоне риска
S03138,2.0,12.4,53.8,84,53,Требует внимания
S03139,8.7,25.8,60.2,51,29,В зоне риска
S03140,9.2,15.0,61.7,88,78,Успешный студент
S03141,11.2,31.0,66.9,78,53,Требует внимания
S03142,1.9,17.3,78.3,76,42,В зоне риска
S03143,11.7,27.5,83.4,78,64,Требует внимания
S03144,5.8,28.2,78.1,95,42,В зоне риска
S03145,1.0,5.9,65.9,95,61,Требует внимания
S03146,2.3,23.3,70.2,46,63,Требует внимания
S03147,5.1,17.7,50.6,66,78,Успешный студент
S03148,7.9,24.4,54.3,41,68,Требует внимания
S03149,6.6,30.7,58.8,71,51,Требует внимания
S03150,1.0,8.1,63.1,91,79,Успешный студент
S03151,7.7,15.4,77.3,63,69,Требует внимания
S03152,2.3,12.0,58.3,69,38,В зоне риска
S03153,1.0,20.6,54.8,95,47,В зоне риска
S03154,1.0,28.4,55.7,82,39,В зоне риска
S03155,2.7,14.4,69.2,88,66,Требует внимания
S03156,1.4,20.1,55.1,81,43,В зоне риска
S03157,3.1,12.2,64.2,49,64,Требует внимания
S03158,3.4,25.9,90.2,70,47,В зоне риска
S03159,5.0,13.1,85.1,87,62,Требует внимания
S03160,6.8,17.0,77.2,68,50,Требует внимания
S03161,9.9,22.1,54.2,95,79,Успешный студент
S03162,7.3,14.3,58.0,95,46,В зоне риска
S03163,7.4,13.8,51.0,95,44,В зоне риска
S03164,11.1,14.9,70.1,73,44,В зоне риска
S03165,1.0,19.9,87.7,55,51,Требует внимания
S03166,1.4,26.8,61.4,95,41,В зоне риска
S03167,3.6,8.3,68.1,95,67,Требует внимания
S03168,8.1,25.4,77.3,71,57,Требует внимания
S03169,10.4,8.5,87.3,82,28,В зоне риска
S03170,4.3,20.3,98.3,81,48,В зоне риска
S03171,7.1,21.6,90.9,62,47,В зоне риска
S03172,7.1,30.0,84.8,95,55,Требует внимания
S03173,6.3,10.6,90.8,40,29,В зоне риска
S03174,3.7,32.0,100.0,95,51,Требует внимания
S03175,1.3,30.0,88.1,70,42,В зоне риска
S03176,2.6,25.7,92.3,95,60,Требует внимания
S03177,1.4,22.0,57.2,51,46,В зоне риска
S03178,6.8,21.6,88.8,93,81,Успешный студент
S03179,4.3,28.4,59.4,78,42,В зоне риска
S03180,5.0,24.0,52.6,61,46,В зоне риска
S03181,1.0,18.8,68.9,80,75,Успешный студент
S03182,2.8,4.8,58.7,55,46,В зоне риска
S03183,6.1,24.0,65.3,83,62,Требует внимания
S03184,6.0,11.7,69.0,72,42,В зоне риска
S03185,7.1,21.2,60.0,86,49,В зоне риска
S03186,5.2,22.5,66.7,48,34,В зоне риска
S03187,3.7,11.3,90.7,86,57,Требует внимания
S03188,2.1,19.4,62.8,79,45,В зоне риска
S03189,2.4,23.2,90.9,40,17,В зоне риска
S03190,8.5,25.1,52.5,95,25,В зоне риска
S03191,9.7,12.8,91.1,78,61,Требует внимания
S03192,1.8,29.0,62.2,66,58,Требует внимания
S03193,3.9,19.5,80.8,81,91,Успешный студент
S03194,6.7,26.3,88.1,94,58,Требует внимания
S03195,1.0,15.9,67.0,67,43,В зоне риска
S03196,7.1,32.2,66.5,54,43,В зоне риска
S03197,6.8,9.4,98.6,86,58,Требует внимания
S03198,2.9,23.8,98.1,84,60,Требует внимания
S03199,2.2,24.9,83.7,91,74,Требует внимания
S03200,9.2,30.4,60.7,68,42,В зоне риска
S03201,4.9,16.3,91.0,67,71,Требует внимания
S03202,3.7,26.6,93.2,69,72,Требует внимания
S03203,7.1,17.0,89.9,55,62,Требует внимания
S03204,2.7,20.6,95.0,54,63,Требует внимания
S03205,4.3,9.0,55.7,95,59,Требует внимания
S03206,3.7,7.9,59.9,57,59,Требует внимания
S03207,9.7,12.0,61.2,95,67,Требует внимания
S03208,7.6,20.3,53.7,58,52,Требует внимания
S03209,3.7,16.4,64.4,57,55,Требует внимания
S03210,5.5,14.8,89.9,71,58,Требует внимания
S03211,5.8,14.6,77.6,95,80,Успешный студент
S03212,7.5,21.5,62.1,49,92,Успешный студент
S03213,3.9,22.0,84.8,40,71,Требует внимания
S03214,1.9,4.6,62.6,91,25,В зоне риска
S03215,1.2,6.5,94.1,55,54,Требует внимания
S03216,1.7,9.0,68.2,82,50,Требует внимания
S03217,6.7,14.8,83.7,57,67,Требует внимания
S03218,1.0,22.3,50.3,68,47,В зоне риска
S03219,1.7,18.1,92.6,75,66,Требует внимания
S03220,1.1,10.6,76.9,95,41,В зоне риска
S03221,9.8,26.4,71.6,62,62,Требует внимания
S03222,7.0,10.2,70.2,65,12,В зоне риска
S03223,9.0,13.0,67.6,47,18,В зоне риска
S03224,7.6,17.0,83.9,87,30,В зоне риска
S03225,2.5,21.6,92.3,85,12,В зоне риска
S03226,9.9,31.3,82.4,66,89,Успешный студент
S03227,7.5,18.3,58.7,73,52,Требует внимания
S03228,2.2,6.9,67.6,56,29,В зоне риска
S03229,8.7,32.1,89.9,60,57,Требует внимания
S03230,2.2,15.1,59.7,93,21,В зоне риска
S03231,5.4,9.4,66.5,95,51,Требует внимания
S03232,1.1,25.2,87.4,91,78,Успешный студент
S03233,3.3,18.7,83.0,95,64,Требует внимания
S03234,6.5,26.0,74.9,66,45,В зоне риска
S03235,3.6,33.4,80.2,57,20,В зоне риска
