hours_studied,lms_activity_hours,attendance_percent,previous_scores,exam_score,risk_category,risk_level
4.9,24.7,100.0,40,39,В зоне риска,0
2.1,3.3,78.2,74,52,Требует внимания,1
8.2,22.2,71.3,74,72,Требует внимания,1
1.6,14.2,52.1,55,85,Успешный студент,2
5.6,14.6,69.0,49,58,Требует внимания,1
3.1,25.2,57.1,65,59,Требует внимания,1
3.2,18.7,63.9,78,77,Успешный студент,2
7.6,25.5,59.1,80,57,Требует внимания,1
3.8,12.9,62.4,61,21,В зоне риска,0
2.1,13.6,80.0,62,41,В зоне риска,0
10.7,9.7,64.5,71,52,Требует внимания,1
11.5,18.6,56.1,67,70,Требует внимания,1
7.4,18.3,55.4,95,48,В зоне риска,0
10.9,18.6,77.4,86,76,Успешный студент,2
8.1,19.7,54.4,95,29,В зоне риска,0
9.0,31.3,51.8,79,53,Требует внимания,1
7.2,30.0,53.5,55,55,Требует внимания,1
7.9,13.5,50.3,95,40,В зоне риска,0
3.6,23.3,96.2,60,39,В зоне риска,0
2.8,27.4,74.2,87,50,Требует внимания,1
7.2,25.1,72.6,59,64,Требует внимания,1
6.4,22.9,89.1,52,45,В зоне риска,0
1.7,31.0,72.7,95,44,В зоне риска,0
1.4,25.3,67.0,59,65,Требует внимания,1
8.8,14.4,70.4,89,43,В зоне риска,0
5.1,6.7,50.3,92,35,В зоне риска,0
6.4,28.2,79.8,77,72,Требует внимания,1
1.5,12.8,67.0,80,69,Требует внимания,1
4.6,14.1,62.2,89,94,Успешный студент,2
5.8,18.4,50.3,78,76,Успешный студент,2
7.6,19.3,58.5,85,61,Требует внимания,1
5.0,15.4,89.6,78,64,Требует внимания,1
2.8,20.3,84.1,40,38,В зоне риска,0
2.0,11.8,72.3,82,42,В зоне риска,0
5.9,30.8,50.3,54,79,Успешный студент,2
7.1,15.2,63.6,73,35,В зоне риска,0
9.3,10.1,64.6,64,65,Требует внимания,1
7.8,12.8,76.6,95,52,Требует внимания,1
1.5,26.8,86.0,53,40,В зоне риска,0
2.5,10.3,94.0,78,63,Требует внимания,1
4.8,23.9,99.9,94,53,Требует внимания,1
1.5,22.2,68.6,67,87,Успешный студент,2
1.0,17.7,52.1,86,47,В зоне риска,0
11.7,23.4,82.6,78,63,Требует внимания,1
3.4,26.4,84.6,61,37,В зоне риска,0
8.0,22.4,91.5,88,80,Успешный студент,2
6.6,16.0,83.7,68,64,Требует внимания,1
7.9,18.4,63.0,69,61,Требует внимания,1
8.1,28.2,59.6,79,71,Требует внимания,1
1.7,18.1,92.6,75,66,Требует внимания,1
1.5,5.9,90.1,63,55,Требует внимания,1
11.5,25.2,52.6,40,47,В зоне риска,0
6.5,16.0,65.4,67,53,Требует внимания,1
8.3,28.0,79.3,95,90,Успешный студент,2
3.8,24.0,86.7,57,25,В зоне риска,0
2.5,28.0,74.0,64,60,Требует внимания,1
4.6,19.1,88.8,73,77,Успешный студент,2
8.9,29.5,57.5,95,73,Требует внимания,1
2.8,26.5,78.8,85,90,Успешный студент,2
2.9,6.4,87.9,67,47,В зоне риска,0
8.4,25.2,65.6,93,19,В зоне риска,0
2.7,14.5,74.4,74,32,В зоне риска,0
8.5,16.0,100.0,40,46,В зоне риска,0
8.5,10.6,81.4,51,85,Успешный студент,2
7.0,25.4,50.3,87,77,Успешный студент,2
7.9,13.7,78.2,95,65,Требует внимания,1
8.0,3.8,65.1,95,54,Требует внимания,1
11.8,19.2,57.2,74,61,Требует внимания,1
4.5,19.9,83.4,52,50,Требует внимания,1
1.1,4.1,64.7,56,48,В зоне риска,0
8.9,26.3,78.1,73,73,Требует внимания,1
1.1,12.0,50.3,47,33,В зоне риска,0
7.1,22.4,64.8,68,65,Требует внимания,1
5.7,25.5,50.3,59,42,В зоне риска,0
9.1,11.8,60.8,40,77,Успешный студент,2
3.9,12.8,70.8,95,42,В зоне риска,0
4.8,10.2,53.9,95,49,В зоне риска,0
1.8,13.6,64.6,74,67,Требует внимания,1
4.6,29.8,91.0,95,66,Требует внимания,1
3.2,18.0,79.7,71,34,В зоне риска,0
3.9,29.8,83.2,85,78,Успешный студент,2
8.4,14.2,68.2,95,69,Требует внимания,1
4.5,22.9,86.4,51,39,В зоне риска,0
7.6,20.8,90.7,86,62,Требует внимания,1
3.1,6.6,79.2,95,56,Требует внимания,1
9.7,24.9,75.7,73,68,Требует внимания,1
12.0,26.4,63.6,94,89,Успешный студент,2
8.1,4.4,88.0,84,32,В зоне риска,0
4.7,7.8,55.1,40,42,В зоне риска,0
2.2,6.4,70.8,95,37,В зоне риска,0
6.6,27.9,53.1,65,50,Требует внимания,1
3.1,20.8,68.6,67,56,Требует внимания,1
10.6,15.5,57.5,66,59,Требует внимания,1
5.1,29.9,65.6,75,60,Требует внимания,1
7.6,11.9,66.1,60,52,Требует внимания,1
7.5,15.6,50.3,59,46,В зоне риска,0
1.6,13.9,55.3,59,50,Требует внимания,1
4.1,20.5,62.0,83,71,Требует внимания,1
2.0,10.4,89.2,92,47,В зоне риска,0
4.1,9.8,75.9,49,58,Требует внимания,1
6.1,6.2,80.0,95,22,В зоне риска,0
5.1,17.3,76.8,87,58,Требует внимания,1
2.0,16.3,81.2,54,65,Требует внимания,1
6.3,13.7,59.6,71,51,Требует внимания,1
4.8,23.1,90.1,44,54,Требует внимания,1
9.4,5.1,57.1,95,62,Требует внимания,1
4.7,8.8,51.8,77,69,Требует внимания,1
5.5,31.2,59.7,86,80,Успешный студент,2
3.2,7.8,95.7,89,68,Требует внимания,1
9.6,19.1,70.8,61,25,В зоне риска,0
8.0,17.9,69.0,65,43,В зоне риска,0
9.9,28.9,63.1,83,33,В зоне риска,0
1.0,16.9,99.7,79,47,В зоне риска,0
4.4,20.6,58.7,95,12,В зоне риска,0
1.0,9.0,50.3,71,35,В зоне риска,0
5.4,13.4,80.8,59,61,Требует внимания,1
1.0,17.3,50.3,76,36,В зоне риска,0
4.7,26.2,65.2,81,68,Требует внимания,1
1.3,14.1,61.0,95,12,В зоне риска,0
5.5,17.4,59.1,95,78,Успешный студент,2
3.8,19.7,94.2,74,20,В зоне риска,0
5.3,6.7,63.9,95,57,Требует внимания,1
8.2,11.3,60.8,88,55,Требует внимания,1
7.4,21.4,72.2,76,50,Требует внимания,1
3.2,15.6,65.1,40,21,В зоне риска,0
11.2,18.7,89.9,59,86,Успешный студент,2
9.5,27.9,89.4,51,72,Требует внимания,1
4.1,10.9,52.9,54,48,В зоне риска,0
4.1,14.7,59.1,75,75,Успешный студент,2
5.6,14.2,96.6,82,63,Требует внимания,1
2.3,27.9,91.7,82,81,Успешный студент,2
5.9,21.9,81.8,65,65,Требует внимания,1
1.0,27.0,81.0,76,51,Требует внимания,1
4.3,25.2,74.1,51,63,Требует внимания,1
11.2,9.4,53.3,62,41,В зоне риска,0
1.1,16.4,62.6,74,25,В зоне риска,0
4.5,11.4,61.8,79,56,Требует внимания,1
9.4,28.1,90.7,54,20,В зоне риска,0
8.9,27.8,69.0,95,72,Требует внимания,1
3.5,9.8,62.5,95,46,В зоне риска,0
1.0,22.1,72.7,84,62,Требует внимания,1
11.5,16.0,82.5,55,45,В зоне риска,0
5.2,21.7,87.3,62,68,Требует внимания,1
5.1,27.0,88.4,84,61,Требует внимания,1
1.1,14.7,57.0,95,12,В зоне риска,0
6.9,30.4,91.8,68,57,Требует внимания,1
4.5,27.1,73.6,60,59,Требует внимания,1
6.5,8.7,61.5,60,46,В зоне риска,0
3.0,7.0,93.1,85,21,В зоне риска,0
2.9,7.4,58.1,72,53,Требует внимания,1
4.8,9.5,59.9,95,63,Требует внимания,1
7.6,26.0,55.3,52,63,Требует внимания,1
4.9,10.0,78.7,84,63,Требует внимания,1
8.3,8.6,88.4,87,18,В зоне риска,0
9.2,14.5,57.5,95,39,В зоне риска,0
6.7,7.5,54.4,95,47,В зоне риска,0
2.9,9.9,67.4,63,41,В зоне риска,0
2.9,23.8,98.1,84,60,Требует внимания,1
1.7,25.3,62.4,88,65,Требует внимания,1
1.6,19.9,56.1,95,58,Требует внимания,1
4.7,13.6,63.3,61,59,Требует внимания,1
11.7,10.3,69.8,79,44,В зоне риска,0
1.0,9.7,86.2,89,22,В зоне риска,0
7.5,25.3,65.5,86,66,Требует внимания,1
5.7,9.8,70.4,94,55,Требует внимания,1
4.2,21.5,64.4,95,64,Требует внимания,1
3.0,13.1,50.3,82,67,Требует внимания,1
12.0,29.8,50.8,83,28,В зоне риска,0
4.7,6.9,50.3,95,63,Требует внимания,1
4.5,23.1,96.8,84,75,Успешный студент,2
1.0,11.2,50.3,58,40,В зоне риска,0
9.6,22.2,81.2,77,73,Требует внимания,1
4.7,29.0,92.6,95,44,В зоне риска,0
10.2,24.9,60.7,73,49,В зоне риска,0
9.0,15.3,70.9,77,79,Успешный студент,2
7.4,14.2,50.3,76,57,Требует внимания,1
5.2,18.5,85.0,66,48,В зоне риска,0
4.5,12.2,50.3,77,30,В зоне риска,0
4.1,32.5,93.1,86,50,Требует внимания,1
8.4,18.4,90.1,82,71,Требует внимания,1
1.3,7.7,59.6,63,44,В зоне риска,0
3.9,25.8,64.8,47,34,В зоне риска,0
1.5,20.8,60.2,88,39,В зоне риска,0
3.1,28.8,57.9,51,81,Успешный студент,2
10.6,31.3,50.3,90,60,Требует внимания,1
8.2,25.2,50.3,56,55,Требует внимания,1
1.6,7.1,50.3,59,12,В зоне риска,0
4.9,15.3,79.4,54,52,Требует внимания,1
10.6,28.3,63.5,93,52,Требует внимания,1
5.2,22.3,53.1,95,51,Требует внимания,1
6.6,24.5,66.8,73,40,В зоне риска,0
9.3,18.5,64.7,62,76,Успешный студент,2
6.8,13.7,59.5,93,66,Требует внимания,1
2.9,20.3,60.9,95,92,Успешный студент,2
1.0,30.1,82.7,67,43,В зоне риска,0
9.4,10.5,66.5,94,61,Требует внимания,1
9.2,21.9,79.7,76,80,Успешный студент,2
1.7,23.3,57.3,84,25,В зоне риска,0
10.7,27.2,72.7,95,47,В зоне риска,0
9.8,24.3,73.7,58,75,Успешный студент,2
1.0,23.4,56.5,69,60,Требует внимания,1
3.0,19.5,71.9,61,24,В зоне риска,0
7.9,13.8,61.5,88,59,Требует внимания,1
3.2,6.0,60.8,67,59,Требует внимания,1
10.4,14.2,67.3,95,77,Успешный студент,2
3.8,28.3,61.2,66,31,В зоне риска,0
10.3,10.5,95.6,89,27,В зоне риска,0
6.8,9.0,71.4,88,12,В зоне риска,0
8.3,24.9,93.5,95,54,Требует внимания,1
2.1,18.4,58.5,87,44,В зоне риска,0
5.1,23.6,74.6,66,77,Успешный студент,2
3.6,12.0,62.4,47,43,В зоне риска,0
6.6,8.8,78.9,79,52,Требует внимания,1
1.0,17.2,50.8,95,53,Требует внимания,1
1.7,12.6,93.5,75,39,В зоне риска,0
4.3,12.5,64.3,53,44,В зоне риска,0
8.6,8.4,88.7,84,67,Требует внимания,1
1.0,26.2,78.8,65,73,Требует внимания,1
1.8,14.6,79.3,95,31,В зоне риска,0
1.0,18.9,82.8,58,12,В зоне риска,0
6.0,24.0,52.5,43,33,В зоне риска,0
9.6,5.4,65.1,95,44,В зоне риска,0
7.2,20.1,81.4,82,65,Требует внимания,1
1.4,17.0,74.0,45,66,Требует внимания,1
1.9,18.6,71.7,40,42,В зоне риска,0
2.1,2.3,100.0,95,32,В зоне риска,0
5.1,28.3,88.5,50,53,Требует внимания,1
6.7,17.6,73.2,66,64,Требует внимания,1
9.9,17.0,91.7,88,23,В зоне риска,0
8.6,21.3,61.3,74,62,Требует внимания,1
1.0,31.6,70.8,81,21,В зоне риска,0
5.3,3.1,69.6,60,71,Требует внимания,1
1.4,14.8,55.2,74,48,В зоне риска,0
3.6,22.6,82.4,95,66,Требует внимания,1
6.0,10.8,50.3,76,63,Требует внимания,1
6.0,14.5,52.9,75,67,Требует внимания,1
2.2,11.5,62.9,95,56,Требует внимания,1
6.6,27.9,76.6,80,54,Требует внимания,1
8.9,28.8,67.8,95,41,В зоне риска,0
10.1,24.2,69.8,65,58,Требует внимания,1
7.4,5.4,85.4,95,37,В зоне риска,0
8.2,15.7,51.3,61,64,Требует внимания,1
6.5,9.7,58.5,40,65,Требует внимания,1
6.3,13.7,83.7,72,56,Требует внимания,1
7.9,15.1,88.1,84,47,В зоне риска,0
2.7,16.5,65.0,95,70,Требует внимания,1
8.2,23.6,96.6,92,45,В зоне риска,0
4.0,18.6,72.8,92,58,Требует внимания,1
2.1,17.9,57.2,44,63,Требует внимания,1
10.5,18.0,76.8,87,64,Требует внимания,1
2.1,8.1,61.5,89,60,Требует внимания,1
1.1,28.4,52.9,95,52,Требует внимания,1
3.1,7.8,56.0,89,73,Требует внимания,1
4.2,29.4,79.4,55,79,Успешный студент,2
8.3,16.6,62.4,95,61,Требует внимания,1
1.0,13.5,77.9,89,61,Требует внимания,1
6.3,31.5,74.0,95,59,Требует внимания,1
6.2,19.2,62.1,92,71,Требует внимания,1
7.0,18.9,50.4,95,68,Требует внимания,1
7.0,27.5,88.4,76,80,Успешный студент,2
6.8,26.9,94.7,95,40,В зоне риска,0
1.0,27.1,75.2,56,70,Требует внимания,1
7.7,25.6,65.2,51,42,В зоне риска,0
3.9,18.0,55.9,54,68,Требует внимания,1
1.7,8.2,65.5,95,38,В зоне риска,0
5.3,10.9,51.9,95,50,Требует внимания,1
10.6,9.2,86.1,92,51,Требует внимания,1
2.6,3.1,64.7,89,12,В зоне риска,0
10.7,17.5,77.5,95,67,Требует внимания,1
7.4,9.2,74.8,74,26,В зоне риска,0
8.1,22.3,63.2,64,51,Требует внимания,1
2.6,25.7,86.7,67,39,В зоне риска,0
2.4,19.1,81.1,67,12,В зоне риска,0
5.6,19.6,73.5,79,72,Требует внимания,1
6.1,14.2,100.0,87,34,В зоне риска,0
6.1,8.2,54.2,63,63,Требует внимания,1
1.0,7.9,78.7,59,48,В зоне риска,0
2.8,28.1,60.9,78,89,Успешный студент,2
6.8,14.0,50.3,81,70,Требует внимания,1
3.9,17.2,63.7,43,72,Требует внимания,1
12.0,12.4,54.1,95,32,В зоне риска,0
8.3,15.5,54.4,70,67,Требует внимания,1
8.6,8.6,84.6,74,47,В зоне риска,0
6.3,14.8,66.4,95,92,Успешный студент,2
5.1,18.5,94.2,71,69,Требует внимания,1
5.1,31.5,54.3,80,54,Требует внимания,1
3.4,34.4,60.1,81,54,Требует внимания,1
6.9,16.8,91.7,60,70,Требует внимания,1
1.0,22.7,58.5,95,29,В зоне риска,0
7.4,22.7,63.2,88,61,Требует внимания,1
1.1,8.9,61.6,79,39,В зоне риска,0
3.7,30.0,63.0,77,63,Требует внимания,1
9.6,16.8,50.5,45,38,В зоне риска,0
6.3,10.7,87.8,94,53,Требует внимания,1
2.7,20.2,82.4,92,56,Требует внимания,1
6.7,25.4,59.4,57,46,В зоне риска,0
6.8,28.9,63.4,95,70,Требует внимания,1
1.0,16.0,61.6,72,61,Требует внимания,1
2.2,11.5,74.6,64,51,Требует внимания,1
9.3,24.7,67.4,88,80,Успешный студент,2
1.0,27.5,50.3,74,26,В зоне риска,0
3.6,23.6,80.0,84,61,Требует внимания,1
1.6,18.1,73.5,84,48,В зоне риска,0
8.1,28.8,60.0,90,78,Успешный студент,2
4.7,10.1,62.9,40,47,В зоне риска,0
12.0,29.8,87.9,64,66,Требует внимания,1
1.2,16.2,71.1,70,83,Успешный студент,2
2.8,12.2,62.3,78,83,Успешный студент,2
1.1,12.9,64.1,65,43,В зоне риска,0
5.0,23.1,93.8,95,75,Успешный студент,2
1.9,11.1,58.4,63,60,Требует внимания,1
1.6,25.4,92.0,95,58,Требует внимания,1
8.2,8.6,54.9,75,21,В зоне риска,0
5.1,22.3,86.7,70,77,Успешный студент,2
1.9,17.5,93.5,75,70,Требует внимания,1
3.0,14.2,67.0,49,43,В зоне риска,0
10.6,24.2,95.4,95,45,В зоне риска,0
2.1,11.6,74.1,95,48,В зоне риска,0
3.1,17.3,69.9,85,47,В зоне риска,0
5.7,25.2,68.2,70,15,В зоне риска,0
3.3,11.1,53.3,76,66,Требует внимания,1
8.4,10.1,68.9,85,41,В зоне риска,0
1.0,27.7,50.3,91,54,Требует внимания,1
5.4,25.5,70.1,74,39,В зоне риска,0
6.4,28.8,63.4,95,58,Требует внимания,1
11.0,21.2,68.7,57,72,Требует внимания,1
8.8,25.9,71.0,40,33,В зоне риска,0
8.4,25.0,51.5,95,20,В зоне риска,0
11.2,13.0,61.8,95,70,Требует внимания,1
3.6,9.8,95.3,54,48,В зоне риска,0
2.7,15.8,86.3,89,40,В зоне риска,0
9.1,22.8,82.2,95,46,В зоне риска,0
1.5,25.4,96.5,89,63,Требует внимания,1
1.6,13.9,59.4,95,72,Требует внимания,1
1.0,12.9,56.4,95,53,Требует внимания,1
1.0,9.1,50.3,50,44,В зоне риска,0
2.8,20.6,51.9,95,21,В зоне риска,0
9.9,15.4,59.5,90,85,Успешный студент,2
4.0,22.9,75.5,80,59,Требует внимания,1
1.6,26.4,92.6,58,73,Требует внимания,1
8.8,28.4,50.3,88,42,В зоне риска,0
3.3,10.0,88.5,81,51,Требует внимания,1
2.6,22.8,59.6,67,46,В зоне риска,0
11.1,20.5,77.7,43,91,Успешный студент,2
5.6,10.6,67.8,65,42,В зоне риска,0
9.4,30.2,57.4,95,37,В зоне риска,0
8.3,16.8,55.6,66,57,Требует внимания,1
1.5,28.7,69.3,77,17,В зоне риска,0
7.0,17.0,83.5,47,40,В зоне риска,0
7.2,14.2,57.3,75,24,В зоне риска,0
1.0,19.7,76.8,85,50,Требует внимания,1
3.6,31.7,60.0,82,48,В зоне риска,0
8.1,27.9,97.1,56,45,В зоне риска,0
1.7,14.3,60.9,91,67,Требует внимания,1
4.6,26.7,78.6,95,42,В зоне риска,0
5.8,24.4,85.7,95,63,Требует внимания,1
7.8,22.9,76.2,75,52,Требует внимания,1
7.9,2.9,89.2,62,39,В зоне риска,0
3.7,25.4,74.5,69,73,Требует внимания,1
2.1,22.4,54.5,48,16,В зоне риска,0
4.6,22.7,89.2,95,53,Требует внимания,1
4.4,23.6,72.2,65,65,Требует внимания,1
1.0,28.5,67.2,80,60,Требует внимания,1
3.6,16.0,50.9,95,52,Требует внимания,1
10.1,20.4,69.8,95,93,Успешный студент,2
1.0,14.1,86.4,85,46,В зоне риска,0
8.1,10.9,67.6,58,61,Требует внимания,1
1.0,32.5,50.3,89,40,В зоне риска,0
3.6,28.7,60.0,86,94,Успешный студент,2
1.5,18.0,52.8,66,41,В зоне риска,0
3.2,29.2,91.6,71,71,Требует внимания,1
1.3,17.0,50.3,95,60,Требует внимания,1
5.0,29.8,50.3,53,75,Успешный студент,2
1.0,3.3,57.0,54,12,В зоне риска,0
11.7,22.4,97.9,61,73,Требует внимания,1
2.0,24.9,57.1,56,63,Требует внимания,1
10.4,11.2,100.0,75,69,Требует внимания,1
2.8,13.1,86.2,69,19,В зоне риска,0
8.8,28.6,81.2,63,81,Успешный студент,2
4.2,2.1,58.1,69,73,Требует внимания,1
12.0,27.7,83.5,71,75,Успешный студент,2
9.1,30.0,73.7,95,25,В зоне риска,0
7.8,16.7,69.8,95,21,В зоне риска,0
6.4,31.1,50.3,68,58,Требует внимания,1
1.2,14.4,60.6,65,52,Требует внимания,1
2.2,11.3,61.3,95,41,В зоне риска,0
7.8,16.2,91.4,67,78,Успешный студент,2
2.5,21.0,77.6,95,86,Успешный студент,2
8.3,14.9,65.9,57,22,В зоне риска,0
1.2,12.9,60.2,95,61,Требует внимания,1
1.5,29.3,62.6,95,64,Требует внимания,1
9.4,6.2,54.1,88,23,В зоне риска,0
9.2,7.4,65.4,54,64,Требует внимания,1
4.0,19.1,81.6,62,68,Требует внимания,1
8.0,26.3,57.3,85,73,Требует внимания,1
3.5,19.0,71.8,93,67,Требует внимания,1
11.1,22.1,69.6,90,86,Успешный студент,2
5.7,9.4,93.3,40,25,В зоне риска,0
3.3,11.5,54.5,67,36,В зоне риска,0
3.5,22.6,68.8,93,17,В зоне риска,0
5.0,14.2,60.6,94,56,Требует внимания,1
1.0,25.3,54.9,64,42,В зоне риска,0
5.6,20.5,76.7,89,66,Требует внимания,1
3.2,17.6,83.7,66,43,В зоне риска,0
3.1,24.4,61.4,85,84,Успешный студент,2
10.0,13.5,83.7,92,73,Требует внимания,1
9.0,24.0,66.8,73,40,В зоне риска,0
6.1,19.2,85.0,66,37,В зоне риска,0
8.1,20.1,60.9,83,69,Требует внимания,1
8.9,30.7,77.5,56,32,В зоне риска,0
2.9,14.7,57.0,92,85,Успешный студент,2
1.2,13.4,51.6,70,65,Требует внимания,1
1.0,15.8,87.9,90,76,Успешный студент,2
2.8,9.8,54.3,90,83,Успешный студент,2
1.0,16.0,90.4,82,54,Требует внимания,1
1.3,26.3,53.9,87,71,Требует внимания,1
2.3,12.3,77.9,95,70,Требует внимания,1
11.1,19.9,95.3,90,94,Успешный студент,2
1.5,20.2,64.8,73,55,Требует внимания,1
3.3,26.9,89.7,63,67,Требует внимания,1
11.0,20.6,50.3,60,81,Успешный студент,2
2.2,27.1,61.3,94,77,Успешный студент,2
2.3,14.0,90.5,62,44,В зоне риска,0
3.2,15.3,62.1,41,12,В зоне риска,0
7.8,12.5,55.6,62,58,Требует внимания,1
3.3,19.0,68.7,62,70,Требует внимания,1
7.7,9.3,100.0,95,65,Требует внимания,1
3.6,25.6,90.4,83,45,В зоне риска,0
3.0,5.2,70.1,72,20,В зоне риска,0
10.5,12.3,92.7,80,63,Требует внимания,1
6.4,17.6,50.3,89,36,В зоне риска,0
12.0,8.1,92.3,95,68,Требует внимания,1
8.9,27.0,55.1,74,63,Требует внимания,1
3.8,26.4,75.5,79,58,Требует внимания,1
4.5,25.9,66.6,85,56,Требует внимания,1
4.0,21.2,80.6,41,22,В зоне риска,0
1.0,16.8,57.6,75,66,Требует внимания,1
7.9,2.1,59.9,94,69,Требует внимания,1
3.1,15.0,76.9,90,69,Требует внимания,1
8.7,11.1,70.3,68,64,Требует внимания,1
1.4,26.9,75.8,54,26,В зоне риска,0
4.9,14.0,96.4,78,82,Успешный студент,2
9.2,19.4,93.2,93,86,Успешный студент,2
5.7,14.7,73.0,95,12,В зоне риска,0
9.1,8.7,50.3,63,72,Требует внимания,1
9.7,10.2,60.9,70,32,В зоне риска,0
9.4,9.5,59.6,67,66,Требует внимания,1
9.9,4.6,75.1,51,35,В зоне риска,0
6.0,11.8,63.0,94,60,Требует внимания,1
4.7,9.6,58.5,79,51,Требует внимания,1
3.3,17.7,91.4,68,59,Требует внимания,1
10.5,28.5,81.9,48,57,Требует внимания,1
4.1,16.7,60.9,90,44,В зоне риска,0
10.5,26.8,64.1,83,69,Требует внимания,1
3.6,32.7,77.8,49,27,В зоне риска,0
6.0,22.6,88.5,84,30,В зоне риска,0
9.3,16.6,62.3,81,65,Требует внимания,1
7.5,19.9,50.3,95,70,Требует внимания,1
5.5,22.3,78.8,84,52,Требует внимания,1
3.2,28.5,87.0,73,61,Требует внимания,1
2.5,23.8,56.1,80,25,В зоне риска,0
4.2,14.0,76.7,42,58,Требует внимания,1
7.6,31.4,63.2,72,65,Требует внимания,1
2.6,20.9,74.2,95,46,В зоне риска,0
9.9,25.5,57.6,79,52,Требует внимания,1
6.9,27.5,85.0,74,46,В зоне риска,0
1.9,6.1,84.5,95,20,В зоне риска,0
3.3,18.9,60.0,70,30,В зоне риска,0
12.0,28.6,76.6,95,60,Требует внимания,1
8.9,24.6,61.0,71,67,Требует внимания,1
6.4,27.1,88.3,95,56,Требует внимания,1
1.7,13.1,50.3,85,12,В зоне риска,0
7.0,28.6,87.1,91,74,Требует внимания,1
1.0,20.9,73.0,84,45,В зоне риска,0
5.8,15.9,100.0,74,73,Требует внимания,1
1.0,22.9,65.6,95,51,Требует внимания,1
6.0,21.9,91.1,62,22,В зоне риска,0
6.5,24.1,54.6,95,43,В зоне риска,0
8.3,10.6,64.9,57,64,Требует внимания,1
3.2,15.4,64.0,88,51,Требует внимания,1
1.1,22.6,67.3,87,41,В зоне риска,0
1.9,22.4,53.4,80,47,В зоне риска,0
1.6,13.8,71.8,76,63,Требует внимания,1
5.3,23.5,83.9,60,57,Требует внимания,1
6.5,34.9,76.6,64,24,В зоне риска,0
4.3,17.0,65.4,69,55,Требует внимания,1
8.1,23.5,84.0,70,47,В зоне риска,0
2.8,12.6,67.6,95,65,Требует внимания,1
2.0,31.1,68.7,65,58,Требует внимания,1
1.8,8.1,82.7,51,55,Требует внимания,1
3.1,14.6,67.7,84,44,В зоне риска,0
2.5,7.5,87.3,82,53,Требует внимания,1
9.2,25.6,96.7,40,47,В зоне риска,0
7.1,29.6,99.4,48,53,Требует внимания,1
3.0,12.9,87.7,58,46,В зоне риска,0
8.2,19.4,66.0,93,62,Требует внимания,1
2.9,15.4,75.1,57,67,Требует внимания,1
2.5,18.7,73.6,89,45,В зоне риска,0
4.1,21.1,85.8,48,60,Требует внимания,1
6.3,13.0,50.3,95,29,В зоне риска,0
7.3,14.2,75.4,55,56,Требует внимания,1
3.1,15.5,94.1,51,68,Требует внимания,1
10.1,24.1,76.6,85,18,В зоне риска,0
8.1,16.1,77.5,62,31,В зоне риска,0
6.8,13.3,65.1,75,75,Успешный студент,2
8.8,25.7,56.3,48,36,В зоне риска,0
6.0,13.5,81.3,93,39,В зоне риска,0
4.5,10.5,94.2,85,68,Требует внимания,1
1.0,9.5,50.3,95,34,В зоне риска,0
4.2,26.3,83.6,65,93,Успешный студент,2
7.9,26.7,95.1,84,94,Успешный студент,2
5.4,23.8,62.6,75,60,Требует внимания,1
3.8,17.0,65.7,79,94,Успешный студент,2
10.6,18.6,61.6,56,59,Требует внимания,1
5.0,29.9,64.4,67,51,Требует внимания,1
1.6,14.7,86.6,84,43,В зоне риска,0
6.4,13.1,59.2,95,62,Требует внимания,1
3.7,16.4,64.4,57,55,Требует внимания,1
5.9,12.7,74.7,88,55,Требует внимания,1
3.3,25.6,62.5,69,53,Требует внимания,1
1.0,18.4,66.8,50,19,В зоне риска,0
2.1,11.8,53.0,95,58,Требует внимания,1
7.4,22.6,68.6,88,61,Требует внимания,1
4.0,22.8,81.3,58,20,В зоне риска,0
8.0,30.9,81.5,90,52,Требует внимания,1
8.4,17.9,89.2,95,76,Успешный студент,2
4.4,21.2,99.3,95,61,Требует внимания,1
8.5,10.4,58.0,61,69,Требует внимания,1
3.6,11.0,50.3,74,63,Требует внимания,1
9.0,31.0,59.3,67,38,В зоне риска,0
4.9,21.5,58.1,77,61,Требует внимания,1
6.8,6.6,66.4,95,44,В зоне риска,0
1.5,15.5,100.0,87,39,В зоне риска,0
8.9,8.7,80.9,87,39,В зоне риска,0
7.4,13.5,84.0,77,57,Требует внимания,1
8.9,30.4,66.0,47,52,Требует внимания,1
10.4,12.6,55.5,95,54,Требует внимания,1
6.0,24.6,50.5,43,61,Требует внимания,1
1.1,20.4,60.1,92,55,Требует внимания,1
5.0,15.3,63.9,57,69,Требует внимания,1
3.7,25.1,83.9,57,64,Требует внимания,1
4.6,16.6,84.2,84,70,Требует внимания,1
2.5,20.7,64.4,62,47,В зоне риска,0
4.6,10.3,50.4,60,52,Требует внимания,1
7.3,30.8,82.5,54,80,Успешный студент,2
1.0,25.9,91.2,75,50,Требует внимания,1
7.1,17.5,71.1,40,90,Успешный студент,2
7.0,12.2,68.7,56,60,Требует внимания,1
1.8,29.1,67.7,68,53,Требует внимания,1
10.1,21.4,54.3,51,89,Успешный студент,2
2.3,23.3,56.3,95,47,В зоне риска,0
9.0,11.6,50.3,57,69,Требует внимания,1
6.3,22.8,82.7,77,38,В зоне риска,0
7.8,24.1,85.6,88,76,Успешный студент,2
1.0,22.9,95.1,90,57,Требует внимания,1
2.3,20.2,50.3,65,62,Требует внимания,1
1.0,24.9,60.2,75,53,Требует внимания,1
9.8,25.8,57.2,75,94,Успешный студент,2
